,key,uid,ctr,coord,lbl,guid,subcl
0,1,1,"[21029, 7246]","[[21004  7221]
 [21054  7271]]",1,05535b17-a3f3-48f9-ae21-dbf9617efcf1,8
172,1378,1378,"[12420, 28597]","[[12395 28572]
 [12445 28622]]",1,39f4c617-c398-421b-a392-ba96a3e5c493,0
174,1380,1380,"[28407, 29819]","[[28382 29794]
 [28432 29844]]",1,64827d9b-9de4-4672-a413-a0c58fee8bff,8
175,1381,1381,"[28124, 29658]","[[28099 29633]
 [28149 29683]]",1,ebd10fc9-384f-450b-ab58-aed2869658c2,0
176,1382,1382,"[27694, 29623]","[[27669 29598]
 [27719 29648]]",1,3b021804-0fe4-4b34-81ea-ee8be751cc8d,8
178,1386,1386,"[31107, 31305]","[[31082 31280]
 [31132 31330]]",1,3f2beb85-8648-4821-a308-1be404f0ed29,8
180,1388,1388,"[7874, 32202]","[[ 7849 32177]
 [ 7899 32227]]",1,e7002dc1-c468-424f-a5c0-f14907519e1c,8
181,1389,1389,"[7803, 32209]","[[ 7778 32184]
 [ 7828 32234]]",1,7e3188fe-4d34-41e5-885b-ee67f1829c2e,8
182,1390,1390,"[14168, 33048]","[[14143 33023]
 [14193 33073]]",1,78b554d8-9df1-4ec5-aa64-5a5ab4e022c2,8
183,1391,1391,"[28267, 32810]","[[28242 32785]
 [28292 32835]]",1,56ef32ec-efe9-4180-a73a-ce121240eb51,8
184,1392,1392,"[17492, 33643]","[[17467 33618]
 [17517 33668]]",1,5d998404-9c93-4e57-9618-9a26a2523665,8
185,1393,1393,"[27307, 33195]","[[27282 33170]
 [27332 33220]]",1,b9fbfe5f-0357-4f3f-9c7c-daafefe9ee80,8
171,1377,1377,"[12407, 28672]","[[12382 28647]
 [12432 28697]]",1,671fbaaf-4086-4417-b684-1ef92cc6b7bb,8
186,1394,1394,"[27536, 33376]","[[27511 33351]
 [27561 33401]]",1,9af2676e-393b-4beb-a2dd-b196b2e1faac,8
189,1397,1397,"[3895, 35236]","[[ 3870 35211]
 [ 3920 35261]]",1,6de19d0a-5be4-46dd-b2b5-c3b758041502,8
190,1398,1398,"[8753, 34868]","[[ 8728 34843]
 [ 8778 34893]]",1,de5263ad-5bc1-4e0e-8d2f-4be3093aac4e,8
191,1399,1399,"[8685, 35001]","[[ 8660 34976]
 [ 8710 35026]]",1,d46ec076-84d0-4b33-9a4e-d0683f0ac490,8
192,1400,1400,"[18489, 34514]","[[18464 34489]
 [18514 34539]]",1,c5a4c999-0711-47f4-acac-405d1354189b,8
193,1401,1401,"[18370, 34951]","[[18345 34926]
 [18395 34976]]",1,6decc50f-3ec4-46ef-8794-a39d8a8e133a,8
194,1402,1402,"[23555, 35432]","[[23530 35407]
 [23580 35457]]",1,95b38345-fb7e-45e2-9070-e0951115aa38,8
195,1403,1403,"[10939, 35357]","[[10914 35332]
 [10964 35382]]",1,35c9e138-54bf-480b-ab46-c7ca0a5148e0,8
196,1404,1404,"[10844, 35524]","[[10819 35499]
 [10869 35549]]",1,c8a949ca-cc77-4c94-82dc-09e438cc7dee,8
197,1405,1405,"[26399, 35851]","[[26374 35826]
 [26424 35876]]",1,1863d197-19e4-4173-af78-4f444670e3b3,8
200,1408,1408,"[38450, 36903]","[[38425 36878]
 [38475 36928]]",1,0d703507-40d3-4d7d-9704-b9a8b45a33dd,8
202,1410,1410,"[22595, 37311]","[[22570 37286]
 [22620 37336]]",1,b36fd529-3e1b-4b9a-8a28-3c1093683947,8
187,1395,1395,"[28076, 33260]","[[28051 33235]
 [28101 33285]]",1,d8383c25-89ba-4c8d-bd69-a57a3ee7aa5a,8
170,1376,1376,"[12353, 28631]","[[12328 28606]
 [12378 28656]]",1,484fd58f-0f6a-4d24-9359-d8dbdfdbf433,8
169,1374,1374,"[24151, 22284]","[[24126 22259]
 [24176 22309]]",1,d080ce6b-72e2-4c50-b455-d95f763553db,8
168,1373,1373,"[19365, 21243]","[[19340 21218]
 [19390 21268]]",1,6cfae45e-2978-4d9a-9e2e-da04decc557d,8
121,127,127,"[8524, 37594]","[[ 8499 37569]
 [ 8549 37619]]",1,8f8a590d-7692-489d-856e-710342a7a159,8
122,128,128,"[8652, 37635]","[[ 8627 37610]
 [ 8677 37660]]",1,d33324aa-da48-43c6-ae0c-faf686cfb04d,8
126,134,134,"[22826, 39227]","[[22801 39202]
 [22851 39252]]",1,c8c272d3-8d93-46ad-8902-376a8bfc16aa,8
128,137,137,"[38821, 38630]","[[38796 38605]
 [38846 38655]]",1,f5bcc540-bd3a-412f-810d-ae37ded762f2,8
130,139,139,"[35000, 39510]","[[34975 39485]
 [35025 39535]]",1,35fe13f9-21e8-44d7-8e18-516d13fd77af,8
131,140,140,"[34482, 39911]","[[34457 39886]
 [34507 39936]]",1,3b028df7-676b-4dc4-8cbc-8ccf6bf1ed25,42
266,30133,30133,"[28416, 52778]","[[28391 52753]
 [28441 52803]]",1,4c4e6586-7671-4d2d-a1a0-5528e06fb058,42
136,146,146,"[39961, 39363]","[[39936 39338]
 [39986 39388]]",1,4c8270d0-c3c1-4da8-904d-5ecf3edfb11c,42
139,150,150,"[36014, 40950]","[[35989 40925]
 [36039 40975]]",1,f94450f9-a43b-4c42-b082-14ae65d824d8,42
